Source,Target,Weight,Type
Orenburg,Dynamo Moscow,3,Directed
PAS Giannina,Volos FC,3,Directed
PAS Lamia 1964,Ergotelis,3,Directed
PAS Lamia 1964,PAS Giannina,3,Directed
PEC Zwolle,Vitesse,3,Directed
Panathinaikos,Aris Saloniki,3,Directed
Panetolikos,Panathinaikos,3,Directed
Paris Saint-Germain,FC Porto,3,Directed
Paris Saint-Germain,Inter Milan,3,Directed
Paris Saint-Germain,Sevilla FC,3,Directed
Portimonense SC,Londrina-PR,3,Directed
Portimonense SC,Palmeiras,3,Directed
Portimonense SC,Urawa Reds,3,Directed
RB Leipzig,RB Salzburg,3,Directed
RC Strasbourg Alsace,AS Monaco,3,Directed
RCD Espanyol,Sevilla FC,3,Directed
RCD Mallorca,Sporting CP,3,Directed
RCD Mallorca,Villarreal CF,3,Directed
RKC Waalwijk,FC Den Bosch,3,Directed
RKC Waalwijk,PEC Zwolle,3,Directed
Reading FC,Stoke City,3,Directed
Real Betis,FC Barcelona,3,Directed
Real Betis,Real Sociedad,3,Directed
Rio Ave FC,Vitória SC,3,Directed
Rostov,Dynamo Moscow,3,Directed
Rostov,Lokomotiv Moscow,3,Directed
Rostov,Tambov,3,Directed
Rostov,Zenit Saint Petersburg,3,Directed
Rotherham United,Middlesbrough FC,3,Directed
Rubin Kazan,Orenburg,3,Directed
SD Huesca,SD Ejea,3,Directed
SS Lazio,AC Milan,3,Directed
SS Lazio,Salernitana,3,Directed
Salernitana,Atalanta BC,3,Directed
Salernitana,Genoa,3,Directed
Salernitana,Parma Calcio,3,Directed
Salernitana,Sampdoria,3,Directed
Salernitana,Venezia FC,3,Directed
Sampdoria,Empoli FC,3,Directed
Sampdoria,Hellas Verona,3,Directed
Sampdoria,Spezia Calcio,3,Directed
Sampdoria,Torino FC,3,Directed
Sampdoria,US Sassuolo,3,Directed
Samsunspor,Galatasaray,3,Directed
Santa Clara,Grêmio,3,Directed
Schalke 04,Eintracht Frankfurt,3,Directed
Sevilla FC,Real Madrid,3,Directed
Sheffield Wednesday,Cardiff City,3,Directed
Sheffield Wednesday,Wigan Athletic,3,Directed
Sivasspor,Göztepe,3,Directed
Sivasspor,Kayserispor,3,Directed
Sivasspor,Konyaspor,3,Directed
Sochi,Krylya Sovetov Samara,3,Directed
Sparta Rotterdam,Lommel SK,3,Directed
Spezia Calcio,AC Milan,3,Directed
Spezia Calcio,Cagliari,3,Directed
Spezia Calcio,Empoli FC,3,Directed
Spezia Calcio,Sampdoria,3,Directed
Sporting CP,Rio Ave FC,3,Directed
Stade Rennais FC,Olympique Lyon,3,Directed
Stoke City,AFC Bournemouth,3,Directed
Stoke City,Barnsley,3,Directed
Swansea City,Wolverhampton Wanderers,3,Directed
Tambov,Anzhi,3,Directed
Tambov,Armavir,3,Directed
